event_id,event_date,primary_url,second_url,second_domain,verified_at,method
praying_mantis_1988,1988-04-18,https://www.asil.org/insights/volume/8/issue/25/world-court-finds-us-attacks-iranian-oil-platforms-1987-1988-were-not,https://www.history.navy.mil/browse-by-topic/wars-conflicts-and-operations/middle-east/praying-mantis.html,navy.mil,2026-08-03T20:51:23+00:00,proposer(web-search)+deterministic-rule
iraq_invades_kuwait_1990,1990-08-02,https://digitallibrary.un.org/record/94220,https://www.history.com/this-day-in-history/august-2/iraq-invades-kuwait,history.com,2026-08-03T20:51:23+00:00,proposer(web-search)+deterministic-rule
desert_storm_air_campaign_1991,1991-01-17,https://www.presidency.ucsb.edu/documents/address-the-nation-announcing-allied-military-action-the-persian-gulf,https://www.britannica.com/event/Persian-Gulf-War,britannica.com,2026-08-03T20:51:23+00:00,proposer(web-search)+deterministic-rule
kuwait_oil_fires_1991,1991-02-22,https://en.wikipedia.org/wiki/Kuwaiti_oil_fires,https://www.britannica.com/place/Kuwait/The-Persian-Gulf-War-and-its-aftermath,britannica.com,2026-08-03T20:51:23+00:00,proposer(web-search)+deterministic-rule
thai_baht_float_1997,1997-07-02,https://www.bot.or.th/en/our-roles/special-measures/Tom-Yum-Kung-lesson.html,https://www.federalreservehistory.org/essays/asian-financial-crisis,federalreservehistory.org,2026-08-03T20:51:23+00:00,proposer(web-search)+deterministic-rule
korea_imf_bailout_1997,1997-11-21,https://www.washingtonpost.com/archive/politics/1997/11/21/s-korea-changes-stance-begins-talks-for-imf-aid/5d029a3f-6d3b-4e8e-917b-9445f3de620d/,https://www.imf.org/en/News/Articles/2015/09/29/18/03/nb9725,imf.org,2026-08-03T20:51:23+00:00,proposer(web-search)+deterministic-rule
russia_default_ltcm_1998,1998-08-17,https://en.wikipedia.org/wiki/1998_Russian_financial_crisis,https://www.federalreservehistory.org/essays/ltcm-near-failure,federalreservehistory.org,2026-08-03T20:51:23+00:00,proposer(web-search)+deterministic-rule
operation_desert_fox_1998,1998-12-16,https://www.presidency.ucsb.edu/documents/address-the-nation-announcing-military-strikes-iraq,https://www.globalsecurity.org/military/ops/desert_fox.htm,globalsecurity.org,2026-08-03T20:51:23+00:00,proposer(web-search)+deterministic-rule
opec_cut_1999,1999-03-23,https://www.rferl.org/a/1090869.html,https://www.cbsnews.com/news/opec-cuts-crude-flow/,cbsnews.com,2026-08-03T20:51:23+00:00,proposer(web-search)+deterministic-rule
iraq_war_begins_2003,2003-03-20,https://georgewbush-whitehouse.archives.gov/news/releases/2003/03/20030319-17.html,https://content.time.com/time/specials/packages/article/0,time.com,2026-08-03T20:51:23+00:00,proposer(web-search)+deterministic-rule
ecuador_leaves_opec_2019,2019-10-01,https://www.enerdata.net/publications/daily-energy-news/ecuador-leave-opec-january-2020.html,https://tass.com/economy/1081736,tass.com,2026-08-03T22:06:16+00:00,V2 backfill: web-search proposer + admission_rule (all 5 gates pass)
nigeria_fuel_subsidy_removed_2023,2023-05-29,https://www.channelstv.com/2023/05/29/breaking-fuel-subsidy-is-gone-president-tinubu-declares-in-inaugural-speech/,https://www.aljazeera.com/news/2023/5/31/nigeria-fuel-subsidy-cut-spiralling-costs-all-you-need-to-know,aljazeera.com,2026-08-03T22:06:16+00:00,V2 backfill: web-search proposer + admission_rule (all 5 gates pass)
